start_x,start_y,start_z,end_x,end_y,end_z,segment_start,segment_end,segment_length
480569.0767999999,5923263.410800001,-15,480541.07909999974,5923263.763699999,-15,14074.902041,14102.901965,27.999924
480541.07909999974,5923263.763699999,-15,480513.08719999995,5923264.430199999,-15,14102.901965,14130.901799,27.999834
480513.08719999995,5923264.430199999,-15,480485.10450000037,5923265.4102,-15,14130.901799,14158.901654,27.999855
480485.10450000037,5923265.4102,-15,480457.1344999997,5923266.703500001,-15,14158.901654,14186.901538,27.999884
480457.1344999997,5923266.703500001,-15,480456.1359000001,5923266.7555,-14,14186.901538,14188.315719,1.414180
480456.1359000001,5923266.7555,-14,480436.16750000045,5923267.879000001,-14,14188.315719,14208.315700,19.999981
480436.16750000045,5923267.879000001,-14,480417.2065000003,5923269.0943,-14,14208.315700,14227.315607,18.999907
480417.2065000003,5923269.0943,-14,480397.2581000002,5923270.529200001,-14,14227.315607,14247.315547,19.999940
480397.2581000002,5923270.529200001,-14,480377.32180000003,5923272.1236000005,-14,14247.315547,14267.315501,19.999954
480377.32180000003,5923272.1236000005,-14,480348.4382999996,5923274.718699999,-14,14267.315501,14296.315348,28.999847
480348.4382999996,5923274.718699999,-14,480320.58110000007,5923277.542099999,-14,14296.315348,14324.315262,27.999914
480320.58110000007,5923277.542099999,-14,480292.75739999954,5923280.677200001,-14,14324.315262,14352.315032,27.999770
480292.75739999954,5923280.677200001,-14,480264.9704999998,5923284.1238,-14,14352.315032,14380.314869,27.999837
480264.9704999998,5923284.1238,-14,480244.15660000034,5923286.912900001,-14,14380.314869,14401.314810,20.999941
480244.15660000034,5923286.912900001,-14,480223.36679999996,5923289.876700001,-14,14401.314810,14422.314807,20.999997
480223.36679999996,5923289.876700001,-14,480202.6026999997,5923293.015000001,-14,14422.314807,14443.314731,20.999923
480202.6026999997,5923293.015000001,-14,480180.8788999999,5923296.489700001,-14,14443.314731,14465.314663,21.999932
480180.8788999999,5923296.489700001,-14,480179.89219999965,5923296.6522,-13,14465.314663,14466.728871,1.414208
480179.89219999965,5923296.6522,-13,480158.20129999984,5923300.3266,-13,14466.728871,14488.728788,21.999917
480158.20129999984,5923300.3266,-13,480131.6261,5923305.0967999995,-13,14488.728788,14515.728715,26.999927
480131.6261,5923305.0967999995,-13,480104.1228,5923310.3465,-13,14515.728715,14543.728552,27.999837
480104.1228,5923310.3465,-13,480076.6799999997,5923315.903899999,-13,14543.728552,14571.728408,27.999857
480076.6799999997,5923315.903899999,-13,480049.30119999964,5923321.768300001,-13,14571.728408,14599.728228,27.999819
480049.30119999964,5923321.768300001,-13,480022.9639999997,5923327.713300001,-13,14599.728228,14626.728063,26.999836
480022.9639999997,5923327.713300001,-13,479995.72080000024,5923334.1786,-13,14626.728063,14654.727921,27.999858
479995.72080000024,5923334.1786,-13,479969.5207000002,5923340.7015,-13,14654.727921,14681.727800,26.999879
479969.5207000002,5923340.7015,-13,479942.4263000004,5923347.7645,-13,14681.727800,14709.727666,27.999866
479942.4263000004,5923347.7645,-13,479923.12239999976,5923352.995100001,-13,14709.727666,14729.727659,19.999993
479923.12239999976,5923352.995100001,-13,479903.86099999957,5923358.379899999,-13,14729.727659,14749.727599,19.999940
